timestamp,date,year,month,week,shift,operator_id,line_id,equipment_id,equipment_type,product_id,units_produced,units_defective,units_scrap,units_rework,defect_type,planned_time_min,planned_downtime_min,unplanned_downtime_min,ideal_cycle_time_sec,lote,peso_promedio,longitud_promedio
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP014,L1,L1-CHECK-01,CHECK,PRD-C,3376,48,28,20,Sobrepeso,480.0,45.0,37.88,6.5455,LOT-000001,497.023,119.718
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP013,L1,L1-DEPAL-01,DEPAL,PRD-A,3841,21,9,12,Sin defecto,480.0,45.0,41.69,5.76,LOT-000002,500.514,119.287
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP016,L1,L1-FEED-01,FEED,PRD-D,3256,23,12,11,Sin defecto,480.0,45.0,73.23,5.76,LOT-000003,504.288,120.069
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP007,L1,L1-FILL-01,FILL,PRD-A,3260,69,2,67,Contaminación,480.0,45.0,23.8,6.4,LOT-000004,501.985,120.028
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP005,L1,L1-LABEL-01,LABEL,PRD-B,3355,28,10,18,Error de codificación,480.0,45.0,16.0,6.6977,LOT-000005,502.007,119.874
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP014,L1,L1-PACK-01,PACK,PRD-C,3377,25,18,7,Defecto de etiqueta,480.0,45.0,27.85,6.8571,LOT-000006,499.647,119.792
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP013,L1,L1-SEAM-01,SEAM,PRD-C,2853,32,1,31,Material extraño,480.0,45.0,77.89,6.4,LOT-000007,501.507,120.129
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP003,L1,L1-WASH-01,WASH,PRD-B,3344,25,9,16,Defecto de etiqueta,480.0,45.0,32.95,6.2609,LOT-000008,500.639,120.008
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP009,L1,L1-XRAY-01,XRAY,PRD-C,3506,16,13,3,Contaminación,480.0,45.0,35.19,6.5455,LOT-000009,498.003,120.124
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP013,L2,L2-CAPPER-01,CAPPER,PRD-F,4164,83,30,53,Defecto de sellado,480.0,45.0,14.08,4.9655,LOT-000010,498.557,119.518
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP010,L2,L2-CHECK-01,CHECK,PRD-E,2939,51,17,34,Bajo peso,480.0,45.0,77.89,6.5455,LOT-000011,499.853,119.042
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP012,L2,L2-FILL-01,FILL,PRD-F,3111,61,26,35,Sobrepeso,480.0,45.0,34.47,6.4,LOT-000012,502.036,120.305
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP002,L2,L2-LABEL-01,LABEL,PRD-E,3108,25,14,11,Error de codificación,480.0,45.0,55.84,6.6977,LOT-000013,502.763,120.343
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP010,L2,L2-PACK-01,PACK,PRD-F,3028,15,8,7,Integridad del paquete,480.0,45.0,13.29,6.8571,LOT-000014,501.569,120.239
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP007,L2,L2-RINSE-01,RINSE,PRD-F,3969,16,5,11,Contaminación,480.0,45.0,47.72,4.8,LOT-000015,504.919,120.306
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP016,L3,L3-CART-01,CART,PRD-E,2169,28,7,21,Integridad del paquete,480.0,45.0,55.29,9.931,LOT-000016,499.733,121.08
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP015,L3,L3-CHECK-01,CHECK,PRD-D,3368,48,6,42,Sobrepeso,480.0,45.0,31.37,6.5455,LOT-000017,498.82,120.203
2024-01-01 09:00:00,2024-01-01,2024,1,1,Mañana,OP004,L3,L3-FFS-01,FFS,PRD-D,2051,58,38,20,Bajo peso,480.0,45.0,28.6,9.6,LOT-000018,498.804,120.041
